approach,class_weight,class_mean,ann_weight,ann_mean,precision_weight,precision_mean,recall_weight,recall_mean,f1_weight,f1_mean,global_weight,global_mean
1_shot_random,0.35339297691403393,0.38040835647611904,0.643431283108263,0.6614019538763244,0.7982459607221981,0.8059470045557311,0.7045935870106395,0.7355989837370003,0.7299909845935499,0.7500572642608886,0.22738409657724562,0.25160283024418645
2_shot_random,0.3818281224419325,0.40265170253407895,0.667498811808742,0.6818736222058687,0.8173862252595798,0.8222832234970258,0.7298481028515345,0.7543891209402727,0.753843255727483,0.76865911363551,0.2548698180451528,0.27455757489427235
3_shot_random,0.38727306983887433,0.40790617216983843,0.6663007676415335,0.6809101152434793,0.8115297654419552,0.8177586085232041,0.7317981100258563,0.7536867827169617,0.7527251931408255,0.7671550621619485,0.25804034372053514,0.2777474387006912
4_shot_random,0.3948107345531826,0.4152175995113684,0.6700897854940154,0.6861362080667485,0.8135188876147663,0.8203269727911202,0.7408947798855813,0.7661508212203867,0.7584073657098851,0.7750298738997187,0.2645586404274768,0.2848958292513081
10_shot_random,0.4214709689906054,0.4448210795779695,0.6791282292802918,0.6949015888474288,0.8064520419956343,0.8138295475259795,0.7697672242536799,0.7918159823035122,0.7724602064844063,0.7869098945525744,0.2862328328636386,0.3091068749515596
