approach,class_weight,class_mean,ann_weight,ann_mean,precision_weight,precision_mean,recall_weight,recall_mean,f1_weight,f1_mean,global_weight,global_mean
zero_shot,0.3144291243434646,0.3351404514170308,0.6090813340259663,0.6252227950140126,0.7656649549565424,0.7704277949553539,0.6932721952998296,0.7246312257118159,0.7050539681307009,0.7240387727092041,0.19151291051173386,0.2095374497572139
zero_shot_aug,0.224405183415302,0.23633547950831252,0.5426735645033147,0.5479835316894295,0.7242386622839501,0.7311210030135682,0.514573054921851,0.5197120962727422,0.5694239432230614,0.5748948270911125,0.12177876077700206,0.12950795072447988
one_shot_temp_0,0.4249791293874074,0.44817142257837905,0.6599503999719082,0.6757526344284656,0.8194395563065219,0.8250327906142919,0.7105035521710148,0.73396632679951,0.7426951136809304,0.7582921260252939,0.28046514641893283,0.3028530194828927
one_shot_static,0.3784598254819606,0.407401655347034,0.6413236474288633,0.656899270142548,0.7860558837447854,0.7906654634578625,0.7205417189650267,0.7487296827606945,0.7338184051420316,0.7509608573323525,0.24271523568338202,0.2676218500523325
two_shot_temp_0,0.4409992718045348,0.46416629133223086,0.6751947449002692,0.6892406096826694,0.8323706359415423,0.8396918369946372,0.7206055014455673,0.7370496242208618,0.7540059713441585,0.7662305021582443,0.29776039082726735,0.31992225763197035
two_shot_static,0.40674167308404674,0.42921454077312127,0.6707842715276995,0.6836795854709504,0.8050128142581009,0.8095878698204158,0.7519670889868515,0.7727440572935242,0.7629394170768867,0.7755137264398206,0.27283591687964,0.2934452193138719
three_shot_static,0.41208750352074863,0.4304556709446613,0.6721973461057648,0.682396675606532,0.781971640092069,0.7870504092995725,0.7941413548815195,0.811210842309819,0.7737142837622956,0.7834623627377315,0.2770041262299972,0.29374151884861616
four_shot_static,0.4260171229596493,0.4408858307253045,0.6787560648142236,0.6871277423262789,0.7843429776668398,0.7893613957179679,0.8088119656971544,0.8248946814243691,0.7826223640695433,0.7918267069080369,0.28916170592356877,0.3029448854899245
ten_shot_static,0.446018030590687,0.4606648165672047,0.6780804625366503,0.6939984000844374,0.7794535555366052,0.7884796936657593,0.8116736655854293,0.8287999331093794,0.7810627812732225,0.7937434657616456,0.3024361124826189,0.31970064567283085
one_shot_tf_idf,0.3862953023731972,0.40546114616879003,0.6636243541434088,0.6802836254080589,0.8036335498054278,0.814476459857516,0.7425125670830507,0.7610039485869293,0.7537056600829949,0.7684091620896903,0.25635497054604584,0.27582857847781134
one_shot_tf_idf_aug,0.34924887448546094,0.3750894011556464,0.6338123354687959,0.6557960358233804,0.7744657574156683,0.789802846523916,0.7242773280343571,0.743776428830742,0.7286109655195744,0.7476059506396316,0.22135824479747837,0.2459821423572386
two_shot_tf_idf,0.4063582933419061,0.4268406058826886,0.6755838340404428,0.6942971934489898,0.8143834176168595,0.8281017495685942,0.7545455299261332,0.7739592776094255,0.7671036823644289,0.7832458877390402,0.27452909381005586,0.296354234714417
two_shot_tf_idf_aug,0.36875387571523155,0.39276736306359733,0.656211294812168,0.6808028785087452,0.7956997064546217,0.8150784814671265,0.7435566401252104,0.7645766820755721,0.7488119667960313,0.7708972842689157,0.24198045825009737,0.2673971513579865
three_shot_tf_idf,0.4179382960443588,0.4408732584079511,0.6855047855095557,0.7026419449248955,0.8126068426439444,0.8281031511482726,0.7769673850784964,0.7920760232912867,0.7800543847697361,0.7946809868266453,0.2864987019861174,0.30977604375313883
three_shot_tf_idf_aug,0.37755675795642646,0.40198330837765683,0.6695147733746745,0.6937225612035605,0.8022388429359645,0.8231413733235678,0.751999191973612,0.7723097933418414,0.7582681440060848,0.7806487972580627,0.25277982723927367,0.27886489024882877
four_shot_tf_id,0.4245659424483097,0.4427338741352085,0.6897200850292775,0.7036628936941601,0.810829003587765,0.8216812192364146,0.7766580773385191,0.7888737688668357,0.7797414613685766,0.7904865543733627,0.2928316579259835,0.3115353990104069
four_shot_tf_id_aug,0.3901296907393992,0.4109374617514082,0.6710512621565465,0.6945723886737932,0.8055175101550422,0.8249930264530827,0.7510448420484944,0.769516072295652,0.7589384741178997,0.779168795972976,0.261797021375417,0.28542581440422116
ten_shot_tf_id,0.46898588299375665,0.4869666797752409,0.6991418353959256,0.7172220817744233,0.8078525178471684,0.8208187130538125,0.8093456048483154,0.8224370485631661,0.7943580319781548,0.8073258135532695,0.32788765101103384,0.3492632558231772
ten_shot_tf_id_aug,0.42236733058966003,0.4462264549237474,0.6921265443134004,0.7127971727315282,0.8227948556471579,0.8398687342885941,0.7748793781548707,0.7903336208145973,0.7814497268152615,0.7985122292006042,0.29233164095189695,0.31806895546765984
one_shot_tf_id_custom,0.3783218167466142,0.3974639109888188,0.6532286979177953,0.6693134594742012,0.7886090428643326,0.7993603672745253,0.7543102455898005,0.7741601868254053,0.7525285902245005,0.767478924563044,0.24713066774728554,0.2660279452800723
one_shot_tf_idf_custom_aug,0.3461947858307456,0.36814129423372904,0.6349712553131382,0.6560879498322147,0.7733751766423181,0.7876947198357219,0.7278059019495631,0.7460981219207811,0.7292829905793664,0.7470081613394461,0.21982373774181158,0.24153306698238544
two_shot_tf_id_custom,0.40632030438334943,0.42470664099296773,0.6767756876425624,0.6930007266747066,0.8025493811301923,0.8138913469254084,0.782439747576135,0.798306608374188,0.7760262027583145,0.7894449104997354,0.27498770340217654,0.29432201083170034
two_shot_tf_idf_custom_aug,0.3617312324859029,0.3884740081362115,0.6524689028613316,0.6771205625294889,0.7898919137352332,0.8105855126824116,0.749165398413423,0.7658316858007475,0.748171599971722,0.7690068348884904,0.23601838039075435,0.2630437389172768
