approach,class_weight,class_mean,ann_weight,ann_mean,precision_weight,precision_mean,recall_weight,recall_mean,f1_weight,f1_mean,global_weight,global_mean
fined_tuned_bert_balanced,0.1890,0.2338,0.7218,0.7498,0.8070,0.8313,0.8217,0.8476,0.8054,0.8299,0.1753,0.1364
0_shot,0.29642574867489074,0.32037014163775696,0.5881539347528852,0.613394898792721,0.7274754814493546,0.7360928542633998,0.7075289567225166,0.7481207593724798,0.6895838458762553,0.716082836940908,0.17434397044520686,0.1965134106061016
0_shot_aug,0.22665492255777356,0.2382131053438614,0.5531802428432279,0.5545429229547,0.7205551821320246,0.7133819924026691,0.5331132060037033,0.5461636668772064,0.5841302601845321,0.5878225392788569,0.12538102510212218,0.13209939172350077
1_shot_static,0.34176512899544176,0.38309856657724434,0.611359026766783,0.6342183899892607,0.7368558390108668,0.7477830852754299,0.7213461170227883,0.7556159262280803,0.7085680575268187,0.7315849827880178,0.20894119664547733,0.24296815610181352
2_shot_static,0.3793814872588706,0.42253370068096124,0.6523971987167719,0.6762919408914566,0.771944203259061,0.7830850937514203,0.7724572091989909,0.7966982725142522,0.7519674841562868,0.7714350922498261,0.2475074195326899,0.2857561365255771
3_shot_static,0.4003267872994225,0.4304966397917421,0.6549100190503083,0.6773243598391417,0.7499863648317557,0.7595796179626925,0.803590206780268,0.8272561901123436,0.7591692924191221,0.7764527757983072,0.26217802389661354,0.2915858609598433
4_shot_static,0.40631383650279307,0.44419932692106606,0.658596908058423,0.6834048089441672,0.7554169299334399,0.7678175048041422,0.8188120072903231,0.8483815408382892,0.7677335542717805,0.7904082592080154,0.2675970364220951,0.30356795614761883
10_shot_static,0.4377198414371086,0.4755006898741495,0.6437546584645453,0.6843878154063698,0.7366473588593105,0.7667168845944948,0.830311063939714,0.8523799901419993,0.7633604336698603,0.7927163219557588,0.2817841870275008,0.3254268783671909
1_shot_static_aug,0.3448145098732359,0.37514516514896573,0.5854062215965886,0.6050662579875274,0.7030301876901774,0.7107378181486844,0.7375882991348135,0.7657168266853207,0.6980873230017821,0.7169990348749425,0.20185655937657063,0.22698768127879768
2_shot_static_aug,0.35380409716338557,0.37235838221962736,0.6139020366240867,0.633737726259894,0.7341906051423386,0.7459648399679858,0.7463047626861804,0.7634031291178422,0.7208615759622394,0.7352562860963554,0.21720105581454865,0.23597755450167918
3_shot_static_aug,0.3643340763082687,0.38556540305227616,0.6229576845988359,0.6391080981819888,0.7231572469901061,0.7339354478568014,0.7787848430717582,0.7886539390099379,0.7357514986752053,0.7459897466304166,0.22696471259745468,0.2464179714695122
4_shot_static_aug,0.38053722869591095,0.4007567988311972,0.6547478475952443,0.6732958605803825,0.7588176473452828,0.7672399270882861,0.7722620790892223,0.79065559812572,0.7520481012566668,0.7649308300013159,0.24915593141850692,0.2698278937524901
10_shot_static_aug,0.43958516641808426,0.4768129072144419,0.6563833125989288,0.6936008909642939,0.768424129984048,0.7990524770177588,0.7976634368264065,0.8073698800177718,0.7636946108106922,0.7873491550464882,0.2885363677028535,0.3307178572672121
1_shot_tf_id,0.3718626031192638,0.39785212361618666,0.6353767968131349,0.6745731989392632,0.7583102976890119,0.7827552678773728,0.7684853884155732,0.8006144106331773,0.741505456982235,0.7728713789136876,0.23627286962451188,0.2683803797325502
2_shot_tf_id,0.38788700477734583,0.419408289206856,0.6636666831895837,0.6993489275057931,0.775925256360386,0.8005449796298139,0.7858058522622204,0.8178245338099673,0.7634443921209,0.7943884263448615,0.2574276819129233,0.29331273724385426
3_shot_tf_id,0.3993656910177533,0.44314409765000257,0.6638545835368506,0.6962045126325471,0.7726257753109228,0.799147136058633,0.8011982726747712,0.8263813190730903,0.7678535992881365,0.7955463921162013,0.2651207444894972,0.3085189205304099
4_shot_tf_id,0.39719085104877555,0.42115986675479145,0.6671926368511898,0.6958575540727876,0.7696761767555503,0.7872445981407594,0.7917799157701624,0.8022244791918228,0.7632507064067003,0.7790260958526027,0.2650028112444007,0.29306727475361033
10_shot_tf_id,0.44582739773045593,0.46686603244452635,0.675930192709828,0.7121830125053517,0.769851417552841,0.7930935938202566,0.8176797615989952,0.8394246420082851,0.7774967597062878,0.8014947103910957,0.30134819886326825,0.332494057422764
1_shot_tf_id_aug,0.3408673344867833,0.36065871109858905,0.623094360295603,0.6534028499550049,0.7335506522002362,0.752771670007665,0.7596327287013215,0.7859616476933242,0.729345609666185,0.7516076039529206,0.21239251372770956,0.23565542969291683
2_shot_tf_id_aug,0.37139782364765245,0.39067217825329675,0.6379362255779998,0.6728383329007569,0.749486442009561,0.7807090513444114,0.789527708081749,0.8028734756910266,0.7517547759542048,0.7756608775235488,0.236928125805667,0.2628592171266555
3_shot_tf_id_aug,0.3740647053794398,0.39290972965931653,0.6584474355084831,0.6875335293910037,0.7688010765289062,0.7977590685244564,0.7837753221824215,0.7995300278826318,0.7623171589643899,0.784545042059568,0.2463019459713284,0.270138613164735
4_shot_tf_id_aug,0.39698782760693746,0.4138116862573693,0.6664050084589381,0.6991718336974019,0.7834179655063062,0.8120249142720103,0.770614809141839,0.7899369346739677,0.76269391934184,0.7874715884111222,0.2645546766144966,0.28932547548597887
10_shot_tf_id_aug,0.4078157930203794,0.4285063198670902,0.6799522108345216,0.7099899259672492,0.7951852120524313,0.821351505471272,0.7817634630703137,0.799764327266209,0.771845411691036,0.7943199753300301,0.27729525007744066,0.30423517031893377
1_shot_tf_id_custom,0.36627918442414875,0.39176189460203614,0.6331269297225187,0.6607296717296735,0.7608609465779148,0.7773185235689035,0.7662863744864107,0.8019835865975615,0.7404313902103918,0.7668460944902242,0.2319012154557295,0.25884870801659826
2_shot_tf_id_custom,0.39106233250619504,0.4225318745285821,0.661958253206706,0.6905185188744308,0.7768014531104916,0.7950853879822125,0.7857941911134589,0.8186691326130703,0.7639324357889864,0.7910735058175139,0.2588669385207409,0.29176608417671335
3_shot_tf_id_custom,0.38637430225111463,0.4180832269931414,0.6599198918752383,0.695954618366661,0.7677729826375378,0.7877175284539548,0.7964447339354244,0.8237713605970272,0.7632483737799045,0.7895887818652774,0.2549760877649262,0.29096695268751377
4_shot_tf_id_custom,0.40176133795054875,0.4311705921861684,0.6618626412264961,0.7007637332569185,0.7652716032063734,0.789094410790264,0.807175843284311,0.8435618400318264,0.7674072373119154,0.8007375998063063,0.2659108202786411,0.3021487138509757
10_shot_tf_id_custom,0.42608330557233753,0.46587867833180646,0.6732834174060157,0.7090601470416104,0.7530454342183734,0.7834751010409062,0.8424129082005447,0.8664248375473398,0.7817528961263834,0.8097865378458662,0.28687482407539505,0.3303360041615018
1_shot_tf_id_custom_aug,0.33490818936346584,0.35278880612619307,0.6218230075579964,0.6473107108742303,0.7322490777127817,0.7489808813812215,0.7540213902275937,0.7773771990086059,0.7272692017972006,0.7463982854750519,0.2082536175657933,0.22836397288201704
2_shot_tf_id_custom_aug,0.36785593382982995,0.390701963049655,0.6372319728182814,0.6773166839418581,0.747579916617899,0.7852907834159947,0.7989784992480241,0.81059803283801,0.754467215227588,0.782028473228352,0.23440956242729372,0.2646289580223667
3_shot_tf_id_custom_aug,0.3688435978633883,0.39017560086822883,0.6553838274570116,0.68569369749179,0.7695529311427867,0.795192063602491,0.7623099935733167,0.7841319897566127,0.7523686558332386,0.7763554505592051,0.24173412890072224,0.2675409504304167
4_shot_tf_id_custom_aug,0.38893935759880927,0.4046185567078104,0.6596762997329323,0.6888803550495323,0.774524869726635,0.7986785393144037,0.7685025653441651,0.78926623797367,0.7574382751736553,0.7800004691285323,0.25657407624128625,0.27873377500450575
10_shot_tf_id_custom_aug,0.3959639567899658,0.4176796700471966,0.6613702785385459,0.6957658281146492,0.7784640593973395,0.8102681352015508,0.7893647329372906,0.7977040747601478,0.7642643266064338,0.7870916398284775,0.26187879239340445,0.29060724151704115
1_shot_random,0.3344229678783559,0.37658045999267675,0.6244575132345015,0.657440277325269,0.7675992478618934,0.7837691681040287,0.7039760239583448,0.746284293401713,0.7103551716676085,0.7424508356701752,0.2088329348898197,0.24757916205286276
2_shot_random,0.35927950787362795,0.40223143499869657,0.6444658709251335,0.6798346990640683,0.7787330213089393,0.7928574810924742,0.7460443370373793,0.7929330076061027,0.7394745092441241,0.7723678884728664,0.231543380947331,0.2734508865664472
3_shot_random,0.3699540415692647,0.40038865159115405,0.6382321094816767,0.6732561089052757,0.7689374775130685,0.7848571197351578,0.7351658647977144,0.7657630286970297,0.7282332478908224,0.756345312733106,0.23611654836202373,0.2695641056200905
4_shot_random,0.36949164534359036,0.4075713129803765,0.649141221219087,0.6835620283107614,0.7825969008562177,0.8035461985273561,0.7463402690775364,0.7821336427765223,0.7419597597563566,0.7734932718007964,0.23985225788858802,0.2786002733821463
10_shot_random,0.4120119189129168,0.4549507105870407,0.6584720533905567,0.6931372698925193,0.7665675702219812,0.7906959061118907,0.7935600671745702,0.8257999216154429,0.7626353950567712,0.7917102736253812,0.27129833426797184,0.31534329347196305
1_shot_random_aug,0.31831194792095246,0.34288344075165167,0.6052389445895016,0.6323011003346112,0.7327764031092445,0.7526983986987178,0.741251952397274,0.7722704316278294,0.714615342594013,0.7393154257688083,0.19265478740990566,0.21680557687378682
2_shot_random_aug,0.32762915573925444,0.35092003030224783,0.6271414256412757,0.6553947453413882,0.7595188984091611,0.7822641858503245,0.7518257129534445,0.7813805776310561,0.7327921456124747,0.7580528439448704,0.20546981581196358,0.22999114389513395
3_shot_random_aug,0.3447737855660089,0.37239869094538314,0.6373971860863338,0.6641112228837304,0.7588106179678406,0.784800268757524,0.7399695257621461,0.7599498413701891,0.7341170372272899,0.7570203285520863,0.2197578407561071,0.24731415004403876
4_shot_random_aug,0.35417915646892084,0.37532510108496236,0.6460486682899363,0.6660939833663538,0.7640092392997827,0.7796488238521326,0.7623772723785626,0.7785322808095151,0.7455284066408847,0.7611876283519953,0.2288169723727993,0.250001791639062
10_shot_random_aug,0.39101877817303116,0.41961635838208416,0.6690740183506317,0.6978221019746549,0.7940203851895784,0.8112996450031646,0.7586640666499741,0.7856722964304497,0.7587698651729903,0.7812212776428564,0.26162050516278423,0.29281756922913604
