approach,class_weight,class_mean,ann_weight,ann_mean,precision_weight,precision_mean,recall_weight,recall_mean,f1_weight,f1_mean,global_weight,global_mean
fined_tuned_bert,0.19264108897034904,0.22900174392813175,0.7328571957233304,0.7576284385473361,0.8099043903901291,0.8284591281600161,0.8491392444955942,0.8513460468806318,0.8169686535960914,0.8284171605692084,0.1411784082438986,0.17349823367688735
zero_shot_temp_0,0.30874116700490817,0.34050327247974654,0.6164282310002996,0.6213197910880915,0.7922149037121035,0.7881537358269423,0.6353074515421842,0.6637235482048305,0.6862262722325639,0.7016421584576494,0.19031677141380363,0.21156142212192763
one_shot_temp_09_temp,0.38525037232456844,0.42054072109746893,0.6365158889055128,0.6546670252496187,0.8445778920455866,0.8679223094258317,0.613565465770978,0.6361695503477492,0.6870014363247932,0.7096314309795256,0.24521798319135243,0.27531414287720957
one_shot_temp_0,0.377666072483325,0.411129835315557,0.6330606977948521,0.6469409926911103,0.8514467374944215,0.8621751389117522,0.5923236839233679,0.6213831229233264,0.6754512196452058,0.6985848189565428,0.23908554737973492,0.2659767437839791
two_shot_temp_0,0.43069338852773786,0.45302114984416897,0.6688869435699955,0.6789993958252938,0.8407581161456821,0.8508243568770796,0.6676791450340609,0.6910897675737645,0.7272306145433854,0.7446951015675659,0.28808518426812313,0.3076010870402706
one_shot_tf_idf,0.3505142721601784,0.3788478012517781,0.6709678538942441,0.6822271578663692,0.8588385835143709,0.8659569330644796,0.6701143700090887,0.6910214712686213,0.7336725189001618,0.7515761302491546,0.23518380895061788,0.2584602587119237
one_shot_tf_idf_09_temp,0.35653953768013996,0.37530225264926853,0.6744945066790551,0.6812193880999725,0.8638606204224747,0.8670557633503675,0.6756022226333315,0.6939793028292086,0.7378441849649366,0.7519232643988081,0.24048395957914437,0.25566317090227597
two_shot_tf_idf,0.38264012690131305,0.4142527075271557,0.6788307745863347,0.6952854973609232,0.8495754699470139,0.8622802804713571,0.6941796418364504,0.7189974060260838,0.7463084801881655,0.7670825896260131,0.2597478937322317,0.28802389978612747
two_shot_tf_idf_09_temp,0.3778491331197113,0.4061445226132178,0.6818287112150785,0.695834080691431,0.8558379097650283,0.864520616227739,0.6957328051095153,0.7191654669801848,0.7476229787870058,0.7666029879571773,0.2576283874687474,0.28260920052042854
three_shot_tf_idf,0.39483343069041993,0.41714476182008914,0.6952189162290828,0.7083755974485557,0.8624991069605752,0.8677456631644905,0.7055309576588417,0.7344612575045572,0.7598112191774539,0.778699190850348,0.2744956697756044,0.2954951698768411
three_shot_tf_idf_09_temp,0.3967547049127848,0.4180719666614563,0.6977907626067532,0.7084574929220088,0.8697860154278435,0.8737973147874324,0.7106711504681237,0.7338163040495461,0.7642111087751777,0.7799079691309663,0.27685176810890944,0.29618621736194894
four_shot_tf_id,0.3976857211428809,0.41433423177712436,0.7024332948690505,0.7125504799025716,0.865397847701121,0.8685147510192052,0.7152893077106032,0.7391585680031691,0.7653279001932477,0.7813642429983615,0.2793476914247683,0.29523405569285327
four_shot_tf_idf_09_temp,0.40710002986304383,0.4306487114816573,0.7032882005004203,0.7128792392061781,0.8631463816273207,0.8690348894960948,0.7215646283090761,0.7425753260694661,0.7693962512573962,0.7839250925473176,0.28630864742604745,0.30700052580616477
