method,n clusters,silhouette,calinski harabasz
kmeans emb,8,0.09223977476358414,6.528571970405251
kmeans 3 emb,3,0.07408686727285385,10.467677907580642
kmeans cat,5,0.23304215383018057,28.67777763074141
kmeans 3 cat,3,0.27343766664159724,34.052950218658935
agg emb,8,0.07431749254465103,7.224723912255654
agg 3 emb,3,0.0821043848991394,11.983583403426222
agg cat,5,0.23305916523281942,28.17032614310846
agg 3 cat,3,0.20703345420420596,29.549273909730765
gmm emb,8,0.07946475595235825,6.186176079462203
gmm 3 emb,3,0.07734955102205276,10.347724241999128
gmm cat,5,0.17942708832152002,23.980594976194862
gmm 3 cat,3,0.19538280160195193,28.07960592273773
birch emb,8,0.07431749254465103,7.224723912255654
birch 3 emb,3,0.0821043848991394,11.983583403426222
birch cat,5,0.07990743219852448,9.008474259807224
birch 3 cat,3,0.0821043848991394,11.983583403426222
