method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09788445383310318,9.132667931526536
kmeans 3 emb,3,0.09788445383310318,9.132667931526536
kmeans cat,4,0.2208648061369398,22.97212160343392
kmeans 3 cat,3,0.20344043056432937,25.27310654088651
agg emb,3,0.13438135385513306,8.926279350479113
agg 3 emb,3,0.13438135385513306,8.926279350479113
agg cat,4,0.2508106897228986,20.919261345570632
agg 3 cat,3,0.2592944973523304,22.831010364408865
gmm emb,3,0.11274537444114685,9.060870416312735
gmm 3 emb,3,0.11274537444114685,9.060870416312735
gmm cat,4,0.12156289548305288,13.343885515317309
gmm 3 cat,3,0.08619584753914555,7.140444889170148
birch emb,3,0.13438135385513306,8.926279350479113
birch 3 emb,3,0.13438135385513306,8.926279350479113
birch cat,4,0.08454473316669464,8.138089148451092
birch 3 cat,3,0.13438135385513306,8.926279350479113
