method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.0726659819483757,10.03590861539403
kmeans 3 emb,3,0.0726659819483757,10.03590861539403
kmeans cat,4,0.21275031289939475,25.481827625961756
kmeans 3 cat,3,0.2265135204797459,28.660581870901982
agg emb,3,0.2170381098985672,10.799169916115831
agg 3 emb,3,0.2170381098985672,10.799169916115831
agg cat,4,0.20139862152998603,23.00608776458476
agg 3 cat,3,0.22077481697964563,26.77534553816928
gmm emb,3,0.08104945719242096,9.875593994379859
gmm 3 emb,3,0.08104945719242096,9.875593994379859
gmm cat,4,0.14223147370524847,11.920749392875758
gmm 3 cat,3,0.12982100916715586,6.728263086836916
birch emb,3,0.2170381098985672,10.799169916115831
birch 3 emb,3,0.2170381098985672,10.799169916115831
birch cat,4,0.09190886467695236,9.435566869627023
birch 3 cat,3,0.2170381098985672,10.799169916115831
