method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.08632548153400421,36.221201971948304
kmeans 3 emb,3,0.08632548153400421,36.221201971948304
kmeans cat,3,0.19859350538353512,108.21938071871892
kmeans 3 cat,3,0.19859350538353512,108.21938071871892
agg emb,3,0.0712931677699089,35.62377373299313
agg 3 emb,3,0.0712931677699089,35.62377373299313
agg cat,3,0.20129826005172521,86.96796946513535
agg 3 cat,3,0.20129826005172521,86.96796946513535
gmm emb,3,0.0809265673160553,35.12537786160472
gmm 3 emb,3,0.0809265673160553,35.12537786160472
gmm cat,3,0.07715037369410928,44.099991321843476
gmm 3 cat,3,0.07715037369410928,44.099991321843476
birch emb,3,0.0712931677699089,35.62377373299313
birch 3 emb,3,0.0712931677699089,35.62377373299313
birch cat,3,0.0712931677699089,35.62377373299313
birch 3 cat,3,0.0712931677699089,35.62377373299313
