method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,95,0,12,3.1789473684210527,2.073023012919554,3.0,0,5,0.3684210526315789,0.7153727131370105,0.0,0,5,0.7263157894736842,0.994047231883941,0.0,0,9,0.8210526315789474,1.7133949586812984,0.0,0,4,0.5052631578947369,0.8613903186564316,0.0,0,5,0.5368421052631579,1.1651913030384204,0.0,0,2,0.1368421052631579,0.4521938559010608,0.0,0,3,0.15789473684210525,0.49067451346436763,0.0,26,93,56.38947368421053,14.106204110280547,54.0,1.0,3.0,1.894736842105263,0.6269426695179249,2.0,1.0,6.0,2.957894736842105,1.529259238516814,3.0,2.2,6.75,4.2984210526315785,1.127496111036812,4.15,0.49427168576104746,0.057283142389525366,0.11292962356792145,0.1276595744680851,0.07855973813420622,0.08346972176759411,0.021276595744680854,0.024549918166939442,1.0,6.0,2.8,1.5885226644021007,2.0,25,25,11,20,6,8,
agg 3 cat,1,226,0,16,3.433628318584071,2.5660210657996987,3.0,0,5,0.9070796460176991,1.0605002437348385,1.0,0,6,1.424778761061947,1.2600198216043237,1.0,0,6,1.6415929203539823,1.3366110155475244,1.0,0,13,2.566371681415929,2.1390594244290964,2.0,0,13,1.592920353982301,1.888619334112588,1.0,0,3,0.3141592920353982,0.6623013421748506,0.0,0,8,1.738938053097345,1.6939071798428924,1.0,17,101,65.84513274336283,13.554758024155651,65.0,1.0,4.0,2.4513274336283186,0.5810511615260036,2.0,1.0,9.0,5.168141592920354,1.4660765774588487,5.0,2.8,8.95,5.87632743362832,1.1528628168749913,5.95,0.2521117608836907,0.06660168940870695,0.1046133853151397,0.12053281351526965,0.18843404808317088,0.11695906432748537,0.023066926575698504,0.1276803118908382,1.0,6.0,3.9734513274336285,1.407662693126607,4.0,14,18,52,54,52,36,
agg 3 cat,2,95,0,11,3.8210526315789473,2.2830501591325887,3.0,0,6,1.4736842105263157,1.5834389269518214,1.0,0,9,1.7789473684210526,1.4672230781412332,1.0,0,12,3.442105263157895,2.4655748519369514,3.0,0,13,2.957894736842105,3.0489474621743926,2.0,0,9,2.736842105263158,1.8861788814098128,2.0,0,5,0.7368421052631579,1.248066814187594,0.0,0,20,6.505263157894737,3.761149903982021,7.0,36,103,78.51578947368421,12.805304052231675,79.0,1.0,4.0,2.789473684210526,0.6170405835493484,3.0,3.0,9.0,6.536842105263158,1.3512053430398168,6.0,4.2,9.3,7.194210526315787,1.0757200250197272,7.25,0.16292639138240575,0.06283662477558348,0.07585278276481149,0.14676840215439857,0.12612208258527827,0.11669658886894076,0.03141831238779174,0.27737881508078993,1.0,6.0,4.947368421052632,1.0555670156480237,5.0,1,2,6,15,39,32,
agg 3 emb,0,114,0,12,3.482456140350877,2.305178687487187,3.0,0,6,0.6754385964912281,0.9999611853979312,0.0,0,6,1.0789473684210527,1.270110697162303,1.0,0,2,0.017543859649122806,0.187317162316339,0.0,0,13,1.9035087719298245,2.4457631715014463,1.0,0,13,0.9473684210526315,1.9087228981711293,0.0,0,3,0.21052631578947367,0.5561193640658101,0.0,0,14,1.105263157894737,2.2747884120321165,0.0,26,99,59.59649122807018,14.744862190976754,55.5,1.0,3.0,2.0526315789473686,0.6358341363165785,2.0,1.0,8.0,3.6403508771929824,1.829585730867002,4.0,2.6,8.15,4.800000000000001,1.3551115945295127,4.775,0.36964618249534453,0.07169459962756053,0.11452513966480447,0.00186219739292365,0.20204841713221602,0.1005586592178771,0.0223463687150838,0.11731843575418996,1.0,6.0,3.1403508771929824,1.6821667074187077,3.0,24,25,17,22,11,15,
agg 3 emb,1,192,0,16,3.3333333333333335,2.4544720022385924,3.0,0,4,0.4635416666666667,0.8368001621317994,0.0,0,9,1.3958333333333333,1.3102828651617455,1.0,0,9,2.3229166666666665,1.6308208941605806,2.0,0,13,2.1770833333333335,2.326693682116622,2.0,0,10,1.5208333333333333,1.7364534275667176,1.0,0,5,0.3541666666666667,0.8054677892450708,0.0,0,14,1.984375,2.5137872441598,1.0,34,101,65.99479166666667,14.18593706554397,65.0,1.0,4.0,2.4427083333333335,0.6446306287087666,2.0,1.0,9.0,5.104166666666667,1.7243508022888712,5.0,2.2,8.95,5.851822916666667,1.3299349706165844,5.95,0.24596464258262873,0.03420445810914681,0.10299769408147577,0.1714066102997694,0.1606456571867794,0.11222136817832436,0.026133743274404306,0.14642582628747117,1.0,6.0,3.890625,1.4411730333453665,4.0,14,18,43,46,42,29,
agg 3 emb,2,110,0,11,3.672727272727273,2.4159602756208183,3.0,0,6,1.9454545454545455,1.3051511469035113,2.0,0,5,1.5363636363636364,1.3040323680853083,1.0,0,12,2.981818181818182,2.188300074108962,2.0,0,10,2.4909090909090907,2.3490988103988975,2.0,0,9,2.463636363636364,1.8556992437001274,2.0,0,5,0.5636363636363636,1.0362890100869648,0.0,0,20,4.718181818181818,3.79311742280049,4.0,17,103,74.83636363636364,14.479043554457474,76.0,1.0,4.0,2.690909090909091,0.6019152085345754,3.0,2.0,9.0,6.136363636363637,1.357799573968569,6.0,2.8,9.3,6.8100000000000005,1.194171625671802,6.824999999999999,0.18027666220437308,0.09549308344489069,0.07541276215975012,0.1463632307005801,0.12226684515841142,0.12092815707273541,0.027666220437304774,0.23159303882195448,1.0,6.0,4.8090909090909095,1.1128561035713673,5.0,2,2,9,21,44,32,
agg cat,0,95,0,12,3.1789473684210527,2.073023012919554,3.0,0,5,0.3684210526315789,0.7153727131370105,0.0,0,5,0.7263157894736842,0.994047231883941,0.0,0,9,0.8210526315789474,1.7133949586812984,0.0,0,4,0.5052631578947369,0.8613903186564316,0.0,0,5,0.5368421052631579,1.1651913030384204,0.0,0,2,0.1368421052631579,0.4521938559010608,0.0,0,3,0.15789473684210525,0.49067451346436763,0.0,26,93,56.38947368421053,14.106204110280547,54.0,1.0,3.0,1.894736842105263,0.6269426695179249,2.0,1.0,6.0,2.957894736842105,1.529259238516814,3.0,2.2,6.75,4.2984210526315785,1.127496111036812,4.15,0.49427168576104746,0.057283142389525366,0.11292962356792145,0.1276595744680851,0.07855973813420622,0.08346972176759411,0.021276595744680854,0.024549918166939442,1.0,6.0,2.8,1.5885226644021007,2.0,25,25,11,20,6,8,
agg cat,1,226,0,16,3.433628318584071,2.5660210657996987,3.0,0,5,0.9070796460176991,1.0605002437348385,1.0,0,6,1.424778761061947,1.2600198216043237,1.0,0,6,1.6415929203539823,1.3366110155475244,1.0,0,13,2.566371681415929,2.1390594244290964,2.0,0,13,1.592920353982301,1.888619334112588,1.0,0,3,0.3141592920353982,0.6623013421748506,0.0,0,8,1.738938053097345,1.6939071798428924,1.0,17,101,65.84513274336283,13.554758024155651,65.0,1.0,4.0,2.4513274336283186,0.5810511615260036,2.0,1.0,9.0,5.168141592920354,1.4660765774588487,5.0,2.8,8.95,5.87632743362832,1.1528628168749913,5.95,0.2521117608836907,0.06660168940870695,0.1046133853151397,0.12053281351526965,0.18843404808317088,0.11695906432748537,0.023066926575698504,0.1276803118908382,1.0,6.0,3.9734513274336285,1.407662693126607,4.0,14,18,52,54,52,36,
agg cat,2,95,0,11,3.8210526315789473,2.2830501591325887,3.0,0,6,1.4736842105263157,1.5834389269518214,1.0,0,9,1.7789473684210526,1.4672230781412332,1.0,0,12,3.442105263157895,2.4655748519369514,3.0,0,13,2.957894736842105,3.0489474621743926,2.0,0,9,2.736842105263158,1.8861788814098128,2.0,0,5,0.7368421052631579,1.248066814187594,0.0,0,20,6.505263157894737,3.761149903982021,7.0,36,103,78.51578947368421,12.805304052231675,79.0,1.0,4.0,2.789473684210526,0.6170405835493484,3.0,3.0,9.0,6.536842105263158,1.3512053430398168,6.0,4.2,9.3,7.194210526315787,1.0757200250197272,7.25,0.16292639138240575,0.06283662477558348,0.07585278276481149,0.14676840215439857,0.12612208258527827,0.11669658886894076,0.03141831238779174,0.27737881508078993,1.0,6.0,4.947368421052632,1.0555670156480237,5.0,1,2,6,15,39,32,
agg emb,0,114,0,12,3.482456140350877,2.305178687487187,3.0,0,6,0.6754385964912281,0.9999611853979312,0.0,0,6,1.0789473684210527,1.270110697162303,1.0,0,2,0.017543859649122806,0.187317162316339,0.0,0,13,1.9035087719298245,2.4457631715014463,1.0,0,13,0.9473684210526315,1.9087228981711293,0.0,0,3,0.21052631578947367,0.5561193640658101,0.0,0,14,1.105263157894737,2.2747884120321165,0.0,26,99,59.59649122807018,14.744862190976754,55.5,1.0,3.0,2.0526315789473686,0.6358341363165785,2.0,1.0,8.0,3.6403508771929824,1.829585730867002,4.0,2.6,8.15,4.800000000000001,1.3551115945295127,4.775,0.36964618249534453,0.07169459962756053,0.11452513966480447,0.00186219739292365,0.20204841713221602,0.1005586592178771,0.0223463687150838,0.11731843575418996,1.0,6.0,3.1403508771929824,1.6821667074187077,3.0,24,25,17,22,11,15,
