method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.13735683105006355,0.21640967822719348,0.41447771358278673,3,0.0855005085468292,47.210495115073805,5,0.0829155966639518,37.29290189121067
kmeans 3 emb,0.10945829616899964,0.18576214869321214,0.4518465609674617,3,0.0855005085468292,47.210495115073805,3,0.0760014802217483,48.41284078985581
kmeans cat,0.34780762693608414,0.34820635949787976,0.5829889622178495,3,0.2081497387438791,132.0279675940301,3,0.2178121989003778,135.82316467996088
kmeans 3 cat,0.34780762693608414,0.34820635949787976,0.5829889622178495,3,0.2081497387438791,132.0279675940301,3,0.2178121989003778,135.82316467996088
agg emb,0.05035551313805262,0.18186715602537967,0.4036859214196124,3,0.0693360120058059,44.04944598820306,5,0.0666511431336402,38.53338123483378
agg 3 emb,0.06992169839945714,0.21831106981599963,0.5219081462530647,3,0.0693360120058059,44.04944598820306,3,0.1064249947667121,47.99305573730188
agg cat,0.4730568009850372,0.430213426692535,0.7584987121455796,3,0.1623286113699627,107.7990335073284,3,0.1748923638376938,97.32447164299388
agg 3 cat,0.4730568009850372,0.430213426692535,0.7584987121455796,3,0.1623286113699627,107.7990335073284,3,0.1748923638376938,97.32447164299388
gmm emb,0.14041193163459675,0.20360902654789892,0.4555660167856133,3,0.1335705816745758,42.69597902476169,5,0.0738471299409866,36.57998418429554
gmm 3 emb,0.25863105223666566,0.24302882023821154,0.624452395343741,3,0.1335705816745758,42.69597902476169,3,0.100430816411972,47.18743499803728
gmm cat,0.11817346608368268,0.14415675024977598,0.6378923146723962,3,0.1273438575459814,17.67425970175014,3,0.1149156657313266,62.71666180937751
gmm 3 cat,0.11817346608368268,0.14415675024977598,0.6378923146723962,3,0.1273438575459814,17.67425970175014,3,0.1149156657313266,62.71666180937751
birch emb,0.21243498396490773,0.2758839613545354,0.48091814924104714,3,0.0790954604744911,39.64528415009516,5,0.0676709860563278,37.35394386745992
birch 3 emb,0.36192988822260036,0.3519756508936421,0.6463379771802222,3,0.0790954604744911,39.64528415009516,3,0.1239325851202011,49.54519875685669
birch cat,0.36192988822260036,0.3519756508936421,0.6463379771802222,3,0.0790954604744911,39.64528415009516,3,0.1239325851202011,49.54519875685669
birch 3 cat,0.36192988822260036,0.3519756508936421,0.6463379771802222,3,0.0790954604744911,39.64528415009516,3,0.1239325851202011,49.54519875685669
