method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,68,0,9,3.088235294117647,1.9373415707408976,3.0,0,4,0.4117647058823529,0.8679241681856816,0.0,0,4,0.8382352941176471,1.0016448281306145,1.0,0,2,0.1323529411764706,0.41982269764021435,0.0,0,3,0.35294117647058826,0.7074171199248535,0.0,0,0,0.0,0.0,0.0,0,2,0.1323529411764706,0.4198226976402142,0.0,0,3,0.17647058823529413,0.6215334063760697,0.0,26,92,53.0735294117647,12.862436546957003,52.0,1.0,3.0,1.8235294117647058,0.5970368740478121,2.0,1.0,7.0,2.5588235294117645,1.4287281990990417,2.0,2.2,6.1,3.9330882352941177,0.9180044180184085,3.775,0.6017191977077364,0.08022922636103151,0.163323782234957,0.025787965616045842,0.06876790830945559,0.0,0.025787965616045842,0.034383954154727794,1.0,6.0,2.25,1.3645293322268535,2.0,25,22,7,10,1,3,
agg 3 cat,1,259,0,13,3.386100386100386,2.474200177232101,3.0,0,10,1.196911196911197,1.4237159711480538,1.0,0,7,1.1814671814671815,1.3213673949827245,1.0,0,14,2.034749034749035,1.874644419706898,2.0,0,14,2.436293436293436,2.630838904212497,2.0,0,12,1.7413127413127414,1.8485988342189859,1.0,0,6,0.28957528957528955,0.7187463603732662,0.0,0,7,1.6370656370656371,1.727439483771769,1.0,17,101,65.89575289575289,13.591519432971516,65.0,1.0,4.0,2.4092664092664093,0.572691728897764,2.0,1.0,9.0,5.046332046332046,1.4459834981474666,5.0,2.8,9.3,5.817953667953668,1.1517159685719502,5.9,0.24354346014995837,0.0860871980005554,0.08497639544570953,0.1463482366009442,0.17522910302693695,0.12524298805887255,0.020827547903360177,0.11774507081366288,1.0,6.0,4.011583011583012,1.3850884321882098,4.0,14,20,58,68,55,44,
agg 3 cat,2,89,0,8,3.0898876404494384,1.9750745062943043,3.0,0,7,1.4606741573033708,1.588711454544796,1.0,0,6,1.5842696629213484,1.268579993214003,1.0,0,15,4.393258426966292,2.8904937354592755,4.0,0,10,2.0898876404494384,2.4431743948387132,1.0,0,10,2.9213483146067416,2.012600754683554,3.0,0,5,0.48314606741573035,0.9184022632039955,0.0,0,22,7.50561797752809,4.014529281547266,7.0,45,103,78.88764044943821,12.714914472817835,80.0,1.0,4.0,2.8202247191011236,0.6836033830307697,3.0,2.0,9.0,6.617977528089888,1.457781767380651,7.0,4.05,8.95,7.253370786516854,1.0856972454060705,7.45,0.13132760267430754,0.06208213944603629,0.0673352435530086,0.18672397325692452,0.08882521489971347,0.12416427889207259,0.020534861509073542,0.3190066857688634,1.0,6.0,4.966292134831461,1.0601183274676889,5.0,1,3,4,11,41,29,
agg 3 emb,0,51,0,13,3.549019607843137,2.700471999411926,3.0,0,3,0.3137254901960784,0.6779438347955196,0.0,0,3,0.8823529411764706,0.9517785209496884,1.0,0,0,0.0,0.0,0.0,0,2,0.058823529411764705,0.3105971478222137,0.0,0,3,0.11764705882352941,0.4752708206288032,0.0,0,2,0.13725490196078433,0.40097919363165224,0.0,0,8,0.29411764705882354,1.2213781993642876,0.0,32,92,53.627450980392155,12.249017567647988,53.0,1.0,3.0,1.7843137254901962,0.6103679378930735,2.0,1.0,7.0,2.5686274509803924,1.4457510430331264,2.0,2.6,6.1,3.965686274509803,0.9583574592018591,3.75,0.6630036630036631,0.05860805860805862,0.16483516483516486,0.0,0.010989010989010992,0.021978021978021983,0.02564102564102565,0.05494505494505496,1.0,6.0,2.156862745098039,1.3910075344096142,2.0,21,17,3,6,2,2,
agg 3 emb,1,68,0,12,3.7941176470588234,2.6177284417807383,3.0,0,3,0.75,0.9039713375458747,0.5,0,6,1.2058823529411764,1.2039589362934888,1.0,0,2,0.11764705882352941,0.44148365074124446,0.0,0,11,3.088235294117647,2.71389621397508,2.5,0,12,1.5588235294117647,2.1605855545528807,1.0,0,6,0.25,0.9364110591197602,0.0,0,11,1.3676470588235294,2.0581429955159143,0.0,26,97,63.38235294117647,14.803216080343304,63.5,1.0,3.0,2.2794117647058822,0.5689893694491075,2.0,1.0,7.0,4.602941176470588,1.6312224688119041,5.0,2.6,8.35,5.470588235294118,1.3140525016805678,5.45,0.31272727272727274,0.06181818181818183,0.0993939393939394,0.009696969696969699,0.2545454545454546,0.1284848484848485,0.020606060606060607,0.11272727272727275,1.0,6.0,3.588235294117647,1.4684268576771788,3.0,6,9,20,14,10,9,
agg 3 emb,2,297,0,11,3.1077441077441077,2.118573101960844,3.0,0,10,1.3501683501683501,1.54393155085471,1.0,0,7,1.2693602693602695,1.3412015317697594,1.0,0,15,3.0942760942760943,2.3157511983595414,3.0,0,14,2.1144781144781146,2.4687969934683935,1.0,0,10,2.016835016835017,1.9144858749168576,2.0,0,5,0.3468013468013468,0.7242877705669019,0.0,0,22,3.3535353535353534,3.718961088889153,2.0,17,103,69.53535353535354,14.813010030890625,70.0,1.0,4.0,2.5353535353535355,0.6416795631408747,3.0,1.0,9.0,5.474747474747475,1.6846490993802195,6.0,2.2,9.3,6.214141414141414,1.3456205316022842,6.3,0.1866154468257178,0.08107561665992723,0.07622321067529318,0.18580671249494543,0.1269712899312576,0.12110796603315813,0.02082490901738779,0.201374848362313,1.0,6.0,4.30976430976431,1.3699251354343693,5.0,13,19,46,69,85,65,
agg cat,0,68,0,9,3.088235294117647,1.9373415707408976,3.0,0,4,0.4117647058823529,0.8679241681856816,0.0,0,4,0.8382352941176471,1.0016448281306145,1.0,0,2,0.1323529411764706,0.41982269764021435,0.0,0,3,0.35294117647058826,0.7074171199248535,0.0,0,0,0.0,0.0,0.0,0,2,0.1323529411764706,0.4198226976402142,0.0,0,3,0.17647058823529413,0.6215334063760697,0.0,26,92,53.0735294117647,12.862436546957003,52.0,1.0,3.0,1.8235294117647058,0.5970368740478121,2.0,1.0,7.0,2.5588235294117645,1.4287281990990417,2.0,2.2,6.1,3.9330882352941177,0.9180044180184085,3.775,0.6017191977077364,0.08022922636103151,0.163323782234957,0.025787965616045842,0.06876790830945559,0.0,0.025787965616045842,0.034383954154727794,1.0,6.0,2.25,1.3645293322268535,2.0,25,22,7,10,1,3,
agg cat,1,259,0,13,3.386100386100386,2.474200177232101,3.0,0,10,1.196911196911197,1.4237159711480538,1.0,0,7,1.1814671814671815,1.3213673949827245,1.0,0,14,2.034749034749035,1.874644419706898,2.0,0,14,2.436293436293436,2.630838904212497,2.0,0,12,1.7413127413127414,1.8485988342189859,1.0,0,6,0.28957528957528955,0.7187463603732662,0.0,0,7,1.6370656370656371,1.727439483771769,1.0,17,101,65.89575289575289,13.591519432971516,65.0,1.0,4.0,2.4092664092664093,0.572691728897764,2.0,1.0,9.0,5.046332046332046,1.4459834981474666,5.0,2.8,9.3,5.817953667953668,1.1517159685719502,5.9,0.24354346014995837,0.0860871980005554,0.08497639544570953,0.1463482366009442,0.17522910302693695,0.12524298805887255,0.020827547903360177,0.11774507081366288,1.0,6.0,4.011583011583012,1.3850884321882098,4.0,14,20,58,68,55,44,
agg cat,2,89,0,8,3.0898876404494384,1.9750745062943043,3.0,0,7,1.4606741573033708,1.588711454544796,1.0,0,6,1.5842696629213484,1.268579993214003,1.0,0,15,4.393258426966292,2.8904937354592755,4.0,0,10,2.0898876404494384,2.4431743948387132,1.0,0,10,2.9213483146067416,2.012600754683554,3.0,0,5,0.48314606741573035,0.9184022632039955,0.0,0,22,7.50561797752809,4.014529281547266,7.0,45,103,78.88764044943821,12.714914472817835,80.0,1.0,4.0,2.8202247191011236,0.6836033830307697,3.0,2.0,9.0,6.617977528089888,1.457781767380651,7.0,4.05,8.95,7.253370786516854,1.0856972454060705,7.45,0.13132760267430754,0.06208213944603629,0.0673352435530086,0.18672397325692452,0.08882521489971347,0.12416427889207259,0.020534861509073542,0.3190066857688634,1.0,6.0,4.966292134831461,1.0601183274676889,5.0,1,3,4,11,41,29,
agg emb,0,51,0,13,3.549019607843137,2.700471999411926,3.0,0,3,0.3137254901960784,0.6779438347955196,0.0,0,3,0.8823529411764706,0.9517785209496884,1.0,0,0,0.0,0.0,0.0,0,2,0.058823529411764705,0.3105971478222137,0.0,0,3,0.11764705882352941,0.4752708206288032,0.0,0,2,0.13725490196078433,0.40097919363165224,0.0,0,8,0.29411764705882354,1.2213781993642876,0.0,32,92,53.627450980392155,12.249017567647988,53.0,1.0,3.0,1.7843137254901962,0.6103679378930735,2.0,1.0,7.0,2.5686274509803924,1.4457510430331264,2.0,2.6,6.1,3.965686274509803,0.9583574592018591,3.75,0.6630036630036631,0.05860805860805862,0.16483516483516486,0.0,0.010989010989010992,0.021978021978021983,0.02564102564102565,0.05494505494505496,1.0,6.0,2.156862745098039,1.3910075344096142,2.0,21,17,3,6,2,2,
