method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.07809151709079742,40.2496323371518
kmeans 3 emb,3,0.07809151709079742,40.2496323371518
kmeans cat,3,0.20986814935357112,122.37287093621374
kmeans 3 cat,3,0.20986814935357112,122.37287093621374
agg emb,3,0.07578298449516296,40.8164715633586
agg 3 emb,3,0.07578298449516296,40.8164715633586
agg cat,3,0.20483110903479793,100.65246427374964
agg 3 cat,3,0.20483110903479793,100.65246427374964
gmm emb,3,0.07649216800928116,40.174781053672895
gmm 3 emb,3,0.07649216800928116,40.174781053672895
gmm cat,3,0.06429378842108462,30.469311116859565
gmm 3 cat,3,0.06429378842108462,30.469311116859565
birch emb,3,0.07578298449516296,40.8164715633586
birch 3 emb,3,0.07578298449516296,40.8164715633586
birch cat,3,0.07578298449516296,40.8164715633586
birch 3 cat,3,0.07578298449516296,40.8164715633586
