approach,class_weight,class_mean,ann_weight,ann_mean,precision_weight,precision_mean,recall_weight,recall_mean,f1_weight,f1_mean,global_weight,global_mean
zero_shot_temp_0,0.224405183415302,0.23633547950831252,0.5426735645033147,0.5479835316894295,0.7242386622839501,0.7311210030135682,0.514573054921851,0.5197120962727422,0.5694239432230614,0.5748948270911125,0.12177876077700206,0.12950795072447988
one_shot_tf_idf,0.34924887448546094,0.3750894011556464,0.6338123354687959,0.6557960358233804,0.7744657574156683,0.789802846523916,0.7242773280343571,0.743776428830742,0.7286109655195744,0.7476059506396316,0.22135824479747837,0.2459821423572386
two_shot_tf_idf,0.36875387571523155,0.39276736306359733,0.656211294812168,0.6808028785087452,0.7956997064546217,0.8150784814671265,0.7435566401252104,0.7645766820755721,0.7488119667960313,0.7708972842689157,0.24198045825009737,0.2673971513579865
three_shot_tf_idf,0.37755675795642646,0.40198330837765683,0.6695147733746745,0.6937225612035605,0.8022388429359645,0.8231413733235678,0.751999191973612,0.7723097933418414,0.7582681440060848,0.7806487972580627,0.25277982723927367,0.27886489024882877
four_shot_tf_id,0.3901296907393992,0.4109374617514082,0.6710512621565465,0.6945723886737932,0.8055175101550422,0.8249930264530827,0.7510448420484944,0.769516072295652,0.7589384741178997,0.779168795972976,0.261797021375417,0.28542581440422116
ten_shot_tf_id,0.42236733058966003,0.4462264549237474,0.6921265443134004,0.7127971727315282,0.8227948556471579,0.8398687342885941,0.7748793781548707,0.7903336208145973,0.7814497268152615,0.7985122292006042,0.29233164095189695,0.31806895546765984
fined_tuned_bert_balanced,0.1890,0.2338,0.7218,0.7498,0.8070,0.8313,0.8217,0.8476,0.8054,0.8299,0.1753,0.1364
one_shot_tf_idf_custom,0.3461947858307456,0.36814129423372904,0.6349712553131382,0.6560879498322147,0.7733751766423181,0.7876947198357219,0.7278059019495631,0.7460981219207811,0.7292829905793664,0.7470081613394461,0.21982373774181158,0.24153306698238544
two_shot_tf_idf_custom,0.3617312324859029,0.3884740081362115,0.6524689028613316,0.6771205625294889,0.7898919137352332,0.8105855126824116,0.749165398413423,0.7658316858007475,0.748171599971722,0.7690068348884904,0.23601838039075435,0.2630437389172768
three_shot_tf_idf_custom,0.37755675795642646,0.40198330837765683,0.6695147733746745,0.6937225612035605,0.8022388429359645,0.8231413733235678,0.751999191973612,0.7723097933418414,0.7582681440060848,0.7806487972580627,0.25277982723927367,0.27886489024882877
four_shot_tf_id_custom,0.3843453756409815,0.4068090550888523,0.6692076871987134,0.6925178244164946,0.801591630269374,0.8197736419740687,0.7490371379509787,0.7704072641668855,0.757548370076177,0.7785187938245607,0.25720687991822194,0.2817225217830619
ten_shot_tf_idf_custom,0.4076228146489574,0.4333120751507649,0.6787595266750936,0.7013549402317933,0.8082249835620492,0.8270865596213233,0.7621315803071202,0.7766176078153079,0.766183449589616,0.7840714769005206,0.27667786873309574,0.3039055645690791
